Year,Store,Segments,Products,Sales,Profit in %,Quantity sold
2020,Walmart,Grocery,Beverages,172400,89,505
2020,Walmart,Grocery,Meat,247000,35,305
2020,Walmart,Pharmacy,Pain Relievers,478900,39,814
2020,Walmart,Pharmacy,COVID 19 Testing Kits,325680,41,296
2020,Walmart,Pharmacy,Vitamins,683450,50,926
2020,Walmart,Pharmacy,"Cold, Cough & Flu",723450,20,691
2020,Walmart,Clothing,Winter Wear,134500,18,820
2020,Walmart,Clothing,Sports Wear,132500,16,512
2020,Walmart,Clothing,Casual wear,145000,14,312
2020,Walmart,Clothing,Nightwear,123000,20,821
2020,Walmart,Beauty,Makeup,178650,19,303
2020,Walmart,Beauty,Hair Care,279230,48,933
2020,Walmart,Beauty,Bath & Body,798900,65,698
2020,Walmart,Beauty,Skincare,378950,45,827
2020,Walmart,Personal Care,Feminine care,473400,29,519
2020,Walmart,Personal Care,Men's Grooming,556070,45,319
2020,Walmart,Personal Care,Oral care,112300,46,828
2020,Walmart,Personal Care,Tanning & Sun care,646760,74,310
2020,Walmart,Electronics,TV,195670,65,940
2020,Walmart,Electronics,Cell Phones,296700,89,705
2020,Walmart,Electronics,Computers,234560,35,834
2020,Walmart,Electronics,Cameras,131200,39,526
2020,Target,Grocery,Frozen,157000,45,326
2020,Target,Grocery,Dairy,232000,46,835
2020,Target,Grocery,Beverages,186500,74,317
2020,Target,Grocery,Meat,265600,65,947
2020,Target,Pharmacy,Pain Relievers,498700,89,712
2020,Target,Pharmacy,COVID 19 Testing Kits,357650,35,841
2020,Target,Pharmacy,Vitamins,734500,39,533
2020,Target,Pharmacy,"Cold, Cough & Flu",797800,41,333
2020,Target,Clothing,Winter Wear,167500,50,842
2020,Target,Clothing,Sports Wear,213470,20,324
2020,Target,Clothing,Casual wear,175000,18,954
2020,Target,Clothing,Nightwear,156700,16,719
2020,Target,Beauty,Makeup,789760,14,848
2020,Target,Beauty,Hair Care,397400,20,540
2020,Target,Beauty,Bath & Body,112300,19,340
2020,Target,Beauty,Skincare,172000,48,849
2020,Target,Personal Care,Feminine care,596540,73,331
2020,Target,Personal Care,Men's Grooming,174380,68,961
2020,Target,Personal Care,Oral care,178900,59,726
2020,Target,Personal Care,Tanning & Sun care,234560,46,855
2020,Target,Electronics,TV,254500,74,547
2020,Target,Electronics,Cell Phones,324670,65,347
2020,Target,Electronics,Computers,301800,24,856
2020,Target,Electronics,Cameras,123540,67,338
2021,Walmart,Grocery,Frozen,119000,65,695
2021,Walmart,Grocery,Dairy,186300,56,387
2021,Walmart,Grocery,Beverages,136100,35,187
2021,Walmart,Grocery,Meat,216700,62,696
2021,Walmart,Pharmacy,Pain Relievers,436000,42,178
2021,Walmart,Pharmacy,COVID 19 Testing Kits,286000,26,808
2021,Walmart,Pharmacy,Vitamins,553000,42,573
2021,Walmart,Pharmacy,"Cold, Cough & Flu",684000,43,702
2021,Walmart,Clothing,Winter Wear,187000,71,394
2021,Walmart,Clothing,Sports Wear,126000,62,194
2021,Walmart,Clothing,Casual wear,116000,86,703
2021,Walmart,Clothing,Nightwear,123890,32,185
2021,Walmart,Beauty,Makeup,191400,36,815
2021,Walmart,Beauty,Hair Care,150300,38,580
2021,Walmart,Beauty,Bath & Body,162990,47,709
2021,Walmart,Beauty,Skincare,141430,17,401
2021,Walmart,Personal Care,Feminine care,121670,15,201
2021,Walmart,Personal Care,Men's Grooming,224970,13,710
2021,Walmart,Personal Care,Oral care,113600,11,192
2021,Walmart,Personal Care,Tanning & Sun care,124570,17,822
2021,Walmart,Electronics,TV,122980,16,587
2021,Walmart,Electronics,Cell Phones,231600,45,716
2021,Walmart,Electronics,Computers,187780,14,408
2021,Walmart,Electronics,Cameras,180060,70,208
2021,Target,Grocery,Frozen,129000,65,717
2021,Target,Grocery,Dairy,196300,56,199
2021,Target,Grocery,Beverages,176100,43,829
2021,Target,Grocery,Meat,266700,71,594
2021,Target,Pharmacy,Pain Relievers,456000,62,723
2021,Target,Pharmacy,COVID 19 Testing Kits,346000,86,415
2021,Target,Pharmacy,Vitamins,573000,32,215
2021,Target,Pharmacy,"Cold, Cough & Flu",704000,36,724
2021,Target,Clothing,Winter Wear,177000,38,206
2021,Target,Clothing,Sports Wear,395000,47,836
2021,Target,Clothing,Casual wear,116000,17,601
2021,Target,Clothing,Nightwear,593890,15,730
2021,Target,Beauty,Makeup,162400,13,422
2021,Target,Beauty,Hair Care,140300,11,222
2021,Target,Beauty,Bath & Body,141990,17,731
2021,Target,Beauty,Skincare,161430,16,213
2021,Target,Personal Care,Feminine care,131670,45,843
2021,Target,Personal Care,Men's Grooming,124970,62,608
2021,Target,Personal Care,Oral care,183600,42,737
2021,Target,Personal Care,Tanning & Sun care,179570,26,429
2021,Target,Electronics,TV,172980,42,229
2021,Target,Electronics,Cell Phones,271600,43,738
2021,Target,Electronics,Computers,197780,71,220
2021,Target,Electronics,Cameras,286060,62,850
